SD;X1;X2;x1_res;x2_res;y;f_calls;g_calls;CG;x1_res;x2_res;y;f_calls;g_calls;Newton;x1_res;x2_res;y;f_calls;g_calls
;0,816370;1,518662;-0,000427;0,001030;9,86448e-07; 14;13;;0,000175;0,000092;8,59365e-08; 9;9;;1,070282;-0,532563;0,877368; 24;23
;1,045015;0,752647;0,000574;-0,001387;1,78667e-06; 13;12;;0,000065;-0,000109;1,31106e-08; 11;11;;1,070497;-0,532974;0,877367; 23;22
;-0,787805;-0,245064;-0,000367;0,000885;7,28215e-07; 13;12;;0,000144;-0,000528;2,44116e-07; 9;9;;-1,069894;0,532921;0,877365; 21;20
;-1,647084;-0,090030;-1,891287;0,821122;0,46847; 1002;1001;;nan;inf;nan; 30;30;;-1,747392;0,871523;0,298643; 22;21
;-0,902554;0,223579;-0,000442;0,001067;1,05825e-06; 15;14;;nan;nan;nan; 13;13;;-1,069438;0,533007;0,877362; 18;17
;-0,011902;-0,360912;0,000489;-0,001180;1,29387e-06; 12;11;;0,000070;-0,000211;3,96368e-08; 9;9;;-0,000089;-0,002713;7,61885e-06; 18;17
;0,733482;0,665609;-0,000395;0,000954;8,4527e-07; 10;9;;0,000211;-0,000136;7,87255e-08; 10;10;;1,070043;-0,532566;0,877367; 22;21
;-0,848964;-0,934050;0,000422;-0,001019;9,64362e-07; 11;10;;-0,000459;0,000325;3,77181e-07; 10;10;;-1,070222;0,532688;0,877367; 23;22
;0,557085;0,327219;0,000566;-0,001341;1,68102e-06; 6;5;;-0,000031;-0,000320;1,13948e-07; 8;8;;-1,749650;0,874833;0,298664; 40;39
;-1,566881;-0,573443;-1,889923;0,815589;0,46644; 1002;1001;;nan;nan;nan; 11;11;;-1,747429;0,871294;0,298644; 23;22
;1,831294;-1,492660;1,567769;-0,823106;0,434335; 1002;1001;;nan;-inf;nan; 11;11;;1,748021;-0,876450;0,298646; 20;19
;-1,326029;-0,007019;-1,870176;0,790754;0,427888; 1002;1001;;nan;nan;nan; 9;9;;-1,071495;0,532915;0,877368; 20;19
;-0,633747;-1,106052;0,000562;-0,001357;1,71044e-06; 13;12;;0,000063;-0,000349;1,08026e-07; 9;9;;-1,070491;0,532707;0,877368; 23;22
;-1,547716;-1,898434;-0,000457;0,001103;1,12939e-06; 18;17;;nan;inf;nan; 10;10;;-1,747505;0,871071;0,298646; 25;24
;-0,063295;-1,185400;0,000362;-0,000874;7,103e-07; 15;14;;0,000060;-0,000257;5,78122e-08; 10;10;;-0,000149;-0,002820;8,418e-06; 22;21
;-1,165868;1,407208;-1,817486;0,851408;0,334156; 1002;1001;;nan;nan;nan; 7;7;;-1,070848;0,538038;0,877368; 21;20
;-1,982665;0,525956;-0,000406;0,000981;8,936e-07; 16;15;;0,000014;-0,000177;2,90977e-08; 11;11;;-1,750268;0,872511;0,298689; 19;18
;-1,995117;-1,510971;0,000528;-0,001275;1,51048e-06; 12;11;;0,000085;-0,000457;1,84554e-07; 9;9;;-1,748083;0,871524;0,298646; 25;24
;0,466018;-0,332835;0,000499;-0,001204;1,34736e-06; 13;12;;-0,000035;0,000197;3,43473e-08; 10;10;;0,002025;-0,002013;8,17528e-06; 17;16
;-1,592273;-0,066591;-1,764105;0,782945;0,310105; 1002;1001;;nan;nan;nan; 11;11;;-1,747309;0,870919;0,298646; 21;20
;-0,223945;0,003235;-0,000391;0,000943;8,26843e-07; 10;9;;-0,000113;0,000192;4,07328e-08; 8;8;;-0,002717;-0,000095;1,50275e-05; 16;15
;-0,984100;0,017762;-0,000501;0,001209;1,3589e-06; 15;14;;nan;-inf;nan; 11;11;;-1,070079;0,532366;0,877368; 19;18
